fecha_hora,imagen,actividad,region,etiqueta_roi,diagnostico,metodo,parametros,n_px,media,desvio,mediana,sigma_mad,estimacion_ruido,metrica_antes,metrica_despues,resultados,observaciones
2026-09-21T04:02:41,Retina6_gris,Medición,Imagen completa (sin marco),,,Estadísticas de la región,,290521,89.7371,15.2278,89.0000,16.3086,,,,varianza=231.8860; mad=11.0000,
2026-09-21T04:02:45,Retina6_gris,Medición,ROI 1,fondo2,,Estadísticas de la región,,361,87.5623,1.3404,88.0000,1.4826,,,,varianza=1.7968; mad=1.0000,
2026-09-21T04:02:45,Retina6_gris,Medición,ROI 2,fondo1,,Estadísticas de la región,,462,111.9437,2.7580,112.0000,2.9652,,,,varianza=7.6064; mad=2.0000,
2026-09-21T04:02:57,Retina6_gris,1 - Diagnóstico,Imagen completa,,,Diagnóstico,tamano=539x539; sin_marco=True; ventana=7; wavelet=db2; niveles=3,290521,89.7371,15.2278,89.0000,16.3086,,,,rango_p1_p99=68.0000; sigma_wavelet=0.4203; sigma_wavelet_sobre_rango=0.0062; sigma_diferencias_mad=1.0484; curtosis_diferencias=9.1780; fraccion_impulsos=0.0000; pico_fft_prominencia=1.5504; pico_fft_periodo_px=4.3466; relacion_altas_medias=0.2284; autocorr_lag1_x=0.9852; autocorr_lag1_y=0.9894; autocorr_ancho_medio_x=48; autocorr_ancho_medio_y=71; fondo_borde_centro=0.7220; variabilidad_local_media=2.8593,resultados\diagnostico_Retina6_gris_Imagencompleta.png
2026-09-21T04:03:16,Retina6_gris,2 - Estimación de ruido,ROI 1,fondo2,,Coeficientes wavelet,sin_marco=True; wavelet=db2,,,,,,0.2532,,,sigma_sobre_rango=0.0037; fraccion_impulsos=0.0000; sigma_dif_locales_en_roi=0.0000; sigma_por_roi_homogenea=1.3404; sigma_por_multiples_rois=2.2492; sigma_por_mad=1.4826; sigma_por_diferencias_locales=0.0000,resultados\ruido_Retina6_gris_coeficientes_wavelet.png
2026-09-21T04:06:20,Retina6_gris,5 - Corrección de fondo,Imagen completa,,,Kernel de gran escala,sigma_fondo=60.0000; tipo_kernel=Gaussiano; modo_correccion=Resta; conservar_nivel=True,,,,,,,media=89.7371; desvio=15.2278; fondo_borde_centro=0.7220; rango_fondo_suave=37.2377; sigma_wavelet=0.4203; cv_medias_rois=0.1222,media=89.7371; desvio=8.9526; fondo_borde_centro=0.9169; rango_fondo_suave=12.4796; sigma_wavelet=0.4203; cv_medias_rois=0.0262,tiempo_s=0.1508; capa_resultado=Retina6_gris_kernel_de_gran_escala,
2026-09-21T04:07:21,Retina6_gris,5 - Corrección de fondo,Imagen completa,,,Kernel de gran escala,sigma_fondo=33.3333; factor_barrido=1.8000,,,,,,,media=89.7371; desvio=15.2278; fondo_borde_centro=0.7220; rango_fondo_suave=37.2377; sigma_wavelet=0.4203; cv_medias_rois=0.1222,media=89.7371; desvio=7.2607; fondo_borde_centro=0.9662; rango_fondo_suave=5.8909; sigma_wavelet=0.4203; cv_medias_rois=0.0224,capa_resultado=Retina6_gris_kernel_de_gran_escala_sobrecorreccion,barrido: sobrecorrección
2026-09-21T04:07:21,Retina6_gris,5 - Corrección de fondo,Imagen completa,,,Kernel de gran escala,sigma_fondo=60.0000; factor_barrido=1.8000,,,,,,,media=89.7371; desvio=15.2278; fondo_borde_centro=0.7220; rango_fondo_suave=37.2377; sigma_wavelet=0.4203; cv_medias_rois=0.1222,media=89.7371; desvio=8.9526; fondo_borde_centro=0.9169; rango_fondo_suave=12.4796; sigma_wavelet=0.4203; cv_medias_rois=0.0262,capa_resultado=Retina6_gris_kernel_de_gran_escala_correccion_adecuada,barrido: corrección adecuada
2026-09-21T04:07:22,Retina6_gris,5 - Corrección de fondo,Imagen completa,,,Kernel de gran escala,sigma_fondo=108.0000; factor_barrido=1.8000,,,,,,,media=89.7371; desvio=15.2278; fondo_borde_centro=0.7220; rango_fondo_suave=37.2377; sigma_wavelet=0.4203; cv_medias_rois=0.1222,media=89.7371; desvio=11.0313; fondo_borde_centro=0.8279; rango_fondo_suave=21.0763; sigma_wavelet=0.4203; cv_medias_rois=0.0426,capa_resultado=Retina6_gris_kernel_de_gran_escala_subcorreccion,barrido: subcorrección
2026-09-21T04:07:54,Retina6_gris,5 - Corrección de fondo,Imagen completa,,,Kernel de gran escala,sigma_fondo=20.0000; factor_barrido=3.0000,,,,,,,media=89.7371; desvio=15.2278; fondo_borde_centro=0.7220; rango_fondo_suave=37.2377; sigma_wavelet=0.4203; cv_medias_rois=0.1222,media=89.7371; desvio=6.2849; fondo_borde_centro=0.9864; rango_fondo_suave=2.5566; sigma_wavelet=0.4203; cv_medias_rois=0.0202,capa_resultado=Retina6_gris_kernel_de_gran_escala_sobrecorreccion,barrido: sobrecorrección
2026-09-21T04:07:55,Retina6_gris,5 - Corrección de fondo,Imagen completa,,,Kernel de gran escala,sigma_fondo=60.0000; factor_barrido=3.0000,,,,,,,media=89.7371; desvio=15.2278; fondo_borde_centro=0.7220; rango_fondo_suave=37.2377; sigma_wavelet=0.4203; cv_medias_rois=0.1222,media=89.7371; desvio=8.9526; fondo_borde_centro=0.9169; rango_fondo_suave=12.4796; sigma_wavelet=0.4203; cv_medias_rois=0.0262,capa_resultado=Retina6_gris_kernel_de_gran_escala_correccion_adecuada,barrido: corrección adecuada
2026-09-21T04:07:55,Retina6_gris,5 - Corrección de fondo,Imagen completa,,,Kernel de gran escala,sigma_fondo=180.0000; factor_barrido=3.0000,,,,,,,media=89.7371; desvio=15.2278; fondo_borde_centro=0.7220; rango_fondo_suave=37.2377; sigma_wavelet=0.4203; cv_medias_rois=0.1222,media=89.7371; desvio=13.0460; fondo_borde_centro=0.7464; rango_fondo_suave=28.1607; sigma_wavelet=0.4203; cv_medias_rois=0.0721,capa_resultado=Retina6_gris_kernel_de_gran_escala_subcorreccion,barrido: subcorrección
2026-09-21T04:09:29,Retina6_gris_kernel_de_gran_escala,6 - Realce,Imagen completa,,,CLAHE,tamano_mosaico=64; limite_contraste=0.0100,,,,,,,media=89.7371; contraste_rms=8.9526; rango_p1_p99=48.1438; entropia=6.2756; sigma_wavelet=0.4203; fraccion_saturados=0.0000; snr_roi1=95.3360; snr_roi2=38.9447; cnr_roi1_roi2=2.6211,media=94.8477; contraste_rms=14.0784; rango_p1_p99=71.8376; entropia=7.0986; sigma_wavelet=0.9848; fraccion_saturados=0.0002; snr_roi1=41.0297; snr_roi2=20.3454; cnr_roi1_roi2=2.3115,razon_sigma_wavelet=2.3430; razon_contraste_rms=1.5725; razon_entropia=1.1311; correlacion_con_original=0.9155; tiempo_s=0.0452; capa_resultado=Retina6_gris_kernel_de_gran_escala_clahe,
2026-09-21T04:09:50,Retina6_gris_kernel_de_gran_escala_clahe,7 - Evaluación,Imagen completa,,,Con y sin referencia (vs Retina1_gris),sin_marco=True; rois=2,,,,,,,media=84.0009; contraste_rms=25.7051; rango_p1_p99=130.0000; sigma_wavelet=0.5560; uniformidad_global=0.5747; fondo_borde_centro=0.9105; snr_roi1=40.6422; uniformidad_roi1=0.9630; snr_roi2=23.9580; uniformidad_roi2=0.9381; cnr_roi1_roi2=12.8853; uniformidad_entre_rois=0.7475,media=94.8477; contraste_rms=14.0784; rango_p1_p99=71.8376; sigma_wavelet=0.9848; uniformidad_global=0.7344; fondo_borde_centro=0.9202; snr_roi1=41.0297; uniformidad_roi1=0.9612; snr_roi2=20.3454; uniformidad_roi2=0.9191; cnr_roi1_roi2=2.3115; uniformidad_entre_rois=0.9539,mse=565.6089; rmse=23.7825; mae=19.7692; psnr_db=20.6056; ssim=0.9322; correlacion=0.5679; rango_datos=255.0000,
2026-09-21T04:10:48,Retina6_gris_kernel_de_gran_escala_correccion_adecuada,6 - Realce,Imagen completa,,,CLAHE,tamano_mosaico=64; limite_contraste=0.0100,,,,,,,media=89.7371; contraste_rms=8.9526; rango_p1_p99=48.1438; entropia=6.2756; sigma_wavelet=0.4203; fraccion_saturados=0.0000; snr_roi1=95.3360; snr_roi2=38.9447; cnr_roi1_roi2=2.6211,media=94.8477; contraste_rms=14.0784; rango_p1_p99=71.8376; entropia=7.0986; sigma_wavelet=0.9848; fraccion_saturados=0.0002; snr_roi1=41.0297; snr_roi2=20.3454; cnr_roi1_roi2=2.3115,razon_sigma_wavelet=2.3430; razon_contraste_rms=1.5725; razon_entropia=1.1311; correlacion_con_original=0.9155; tiempo_s=0.0389; capa_resultado=Retina6_gris_kernel_de_gran_escala_correccion_adecuada_clahe,
2026-09-21T04:11:05,Retina6_gris_kernel_de_gran_escala_correccion_adecuada_clahe,7 - Evaluación,Imagen completa,,,Con y sin referencia (vs Retina1_gris),sin_marco=True; rois=2,,,,,,,media=84.0009; contraste_rms=25.7051; rango_p1_p99=130.0000; sigma_wavelet=0.5560; uniformidad_global=0.5747; fondo_borde_centro=0.9105; snr_roi1=40.6422; uniformidad_roi1=0.9630; snr_roi2=23.9580; uniformidad_roi2=0.9381; cnr_roi1_roi2=12.8853; uniformidad_entre_rois=0.7475,media=94.8477; contraste_rms=14.0784; rango_p1_p99=71.8376; sigma_wavelet=0.9848; uniformidad_global=0.7344; fondo_borde_centro=0.9202; snr_roi1=41.0297; uniformidad_roi1=0.9612; snr_roi2=20.3454; uniformidad_roi2=0.9191; cnr_roi1_roi2=2.3115; uniformidad_entre_rois=0.9539,mse=565.6089; rmse=23.7825; mae=19.7692; psnr_db=20.6056; ssim=0.9322; correlacion=0.5679; rango_datos=255.0000,
2026-09-21T04:11:49,Retina6_gris,7 - Evaluación,Imagen completa,,,Con y sin referencia (vs Retina1_gris),sin_marco=True; rois=2,,,,,,,media=84.0009; contraste_rms=25.7051; rango_p1_p99=130.0000; sigma_wavelet=0.5560; uniformidad_global=0.5747; fondo_borde_centro=0.9105; snr_roi1=40.6422; uniformidad_roi1=0.9630; snr_roi2=23.9580; uniformidad_roi2=0.9381; cnr_roi1_roi2=12.8853; uniformidad_entre_rois=0.7475,media=89.7371; contraste_rms=15.2278; rango_p1_p99=68.0000; sigma_wavelet=0.4203; uniformidad_global=0.7528; fondo_borde_centro=0.7220; snr_roi1=65.3232; uniformidad_roi1=0.9773; snr_roi2=40.5892; uniformidad_roi2=0.9643; cnr_roi1_roi2=11.2444; uniformidad_entre_rois=0.8778,mse=264.9289; rmse=16.2766; mae=13.5385; psnr_db=23.8995; ssim=0.9410; correlacion=0.8438; rango_datos=255.0000,
2026-09-21T04:13:33,Retina6,Pipeline,,,Fondo / inhomogeneidad,"Corrección de fondo (sustracción, σ=60) y CLAHE (clip=0.01, k=64)","Fondo: gaussiano σ=60, sustracción. CLAHE: clip=0.01, k=64",,,,,,σ<0.4 (no hay ruido; degradación = fondo + contraste),contraste=15.2; entropía=5.88; fondo b/c=0.723,contraste=34.9; entropía=7.10; fondo b/c=0.917,,Vignetting + bajo contraste. Orden justificado: fondo primero (b/c 0.723→0.917) y realce después: contraste 34.9; orden inverso da solo 23.2.
2026-09-21T04:25:15,Retina7_gris,Medición,ROI 1,,,Estadísticas de la región,,638,66.1740,9.9033,65.0000,2.9652,,,,varianza=98.0749; mad=2.0000,
2026-09-21T04:25:15,Retina7_gris,Medición,ROI 2,,,Estadísticas de la región,,930,104.1462,9.4665,104.0000,4.4478,,,,varianza=89.6148; mad=3.0000,
2026-09-21T04:25:17,Retina7_gris,Medición,Imagen completa (sin marco),,,Estadísticas de la región,,290521,84.8911,27.1966,80.0000,23.7216,,,,varianza=739.6524; mad=16.0000,
2026-09-21T04:25:28,Retina7_gris,1 - Diagnóstico,Imagen completa,,,Diagnóstico,tamano=539x539; sin_marco=True; ventana=7; wavelet=db2; niveles=3,290521,84.8911,27.1966,80.0000,23.7216,,,,rango_p1_p99=143.0000; sigma_wavelet=1.5752; sigma_wavelet_sobre_rango=0.0110; sigma_diferencias_mad=2.0967; curtosis_diferencias=20.2673; fraccion_impulsos=0.0077; pico_fft_prominencia=1.4745; pico_fft_periodo_px=1.4930; relacion_altas_medias=0.6170; autocorr_lag1_x=0.8653; autocorr_lag1_y=0.8717; autocorr_ancho_medio_x=22; autocorr_ancho_medio_y=71; fondo_borde_centro=0.9160; variabilidad_local_media=10.7782,resultados\diagnostico_Retina7_gris_Imagencompleta.png
2026-09-21T04:25:46,Retina7_gris,2 - Estimación de ruido,ROI 2,,,Coeficientes wavelet,sin_marco=True; wavelet=db2,,,,,,1.3549,,,sigma_sobre_rango=0.0095; fraccion_impulsos=0.0030; sigma_dif_locales_en_roi=2.0967; sigma_por_roi_homogenea=9.4665; sigma_por_multiples_rois=9.6466; sigma_por_mad=4.4478; sigma_por_diferencias_locales=2.0967,resultados\ruido_Retina7_gris_coeficientes_wavelet.png
2026-09-21T04:26:27,Retina7_gris,3 - Reducción de ruido,Imagen completa,,,Mediana,ventana_mediana=3; forma_mediana=Cuadrada; umbral_impulso=0.0000,,,,,,,sigma_wavelet=1.5752; media_roi=104.1462; desvio_roi=9.4665,sigma_wavelet=0.5741; media_roi=103.8172; desvio_roi=3.5529,tiempo_s=0.0318; residuo_media=0.8008; residuo_desvio=9.8910; capa_resultado=Retina7_gris_mediana; roi_medida=ROI 2,
2026-09-21T04:27:23,Retina7_gris_mediana,7 - Evaluación,Imagen completa,,,Con y sin referencia (vs Retina1_gris),sin_marco=True; rois=2,,,,,,,media=84.0009; contraste_rms=25.7051; rango_p1_p99=130.0000; sigma_wavelet=0.5560; uniformidad_global=0.5747; fondo_borde_centro=0.9105; snr_roi1=26.2813; uniformidad_roi1=0.9385; snr_roi2=25.0364; uniformidad_roi2=0.9327; cnr_roi1_roi2=11.3669; uniformidad_entre_rois=0.7701,media=84.0903; contraste_rms=25.5475; rango_p1_p99=128.0000; sigma_wavelet=0.5741; uniformidad_global=0.5829; fondo_borde_centro=0.9115; snr_roi1=29.3311; uniformidad_roi1=0.9454; snr_roi2=29.2203; uniformidad_roi2=0.9423; cnr_roi1_roi2=13.0894; uniformidad_entre_rois=0.7704,mse=3.8048; rmse=1.9506; mae=1.0508; psnr_db=42.3275; ssim=0.9699; correlacion=0.9971; rango_datos=255.0000,
2026-09-21T04:28:03,Retina7_gris,7 - Evaluación,Imagen completa,,,Con y sin referencia (vs Retina1_gris),sin_marco=True; rois=2,,,,,,,media=84.0009; contraste_rms=25.7051; rango_p1_p99=130.0000; sigma_wavelet=0.5560; uniformidad_global=0.5747; fondo_borde_centro=0.9105; snr_roi1=26.2813; uniformidad_roi1=0.9385; snr_roi2=25.0364; uniformidad_roi2=0.9327; cnr_roi1_roi2=11.3669; uniformidad_entre_rois=0.7701,media=84.8911; contraste_rms=27.1965; rango_p1_p99=143.0000; sigma_wavelet=1.5752; uniformidad_global=0.5537; fondo_borde_centro=0.9160; snr_roi1=6.6820; uniformidad_roi1=0.9091; snr_roi2=11.0015; uniformidad_roi2=0.9231; cnr_roi1_roi2=3.9198; uniformidad_entre_rois=0.7771,mse=106.5821; rmse=10.3239; mae=2.5285; psnr_db=27.8540; ssim=0.5872; correlacion=0.9259; rango_datos=255.0000,
2026-09-21T04:31:05,Retina7,Pipeline,,,Ruido,Mediana 3×3. Fue comparada con Gaussiano (que falla),Mediana ventana=3 (5×5 = sobre-suaviza),,,,,,"frac. impulso  no era 0, como en el resto de los casos. Además se observa en histograma",PSNR=27.9; SSIM=0.587 (R7 vs R1),PSNR=42.3; SSIM=0.970 (mediana vs R1),,Sal y pimienta identificado por frac. impulsos. Mediana (no-lineal) elimina outliers sin promediarlos. Ningún filtro lineal/de parches funcionaría.
